"id_experiencia","id_candidato","empresa","cargo","data_inicio","data_fim","anos_experiencia"
"1","1","Tech Solutions Ltda","Desenvolvedor Júnior","2019-02-01","2021-05-31","2.25"
"2","2","Inova Corp","Analista de Dados","2018-03-15","2022-08-30","4.46"
"3","3","Global Systems","Engenheiro de Software","2020-01-10","2023-03-20","3.20"
"4","4","Smart Solutions","Analista de Suporte","2017-05-20","2020-11-15","3.50"
"5","5","WebTech Digital","Programador Front-End","2019-06-01","2022-05-30","3.00"
"6","6","Data Experts","Cientista de Dados","2016-09-10","2021-12-01","5.23"
"7","7","SoftHouse","Desenvolvedor Back-End","2018-08-15","2023-01-25","4.45"
"8","8","NextGen Software","Engenheiro de Testes","2017-04-01","2020-09-15","3.45"
"9","9","DigitalMind","Analista de Segurança","2019-01-05","2023-02-10","4.10"
"10","10","CodeWorks","Programador Full Stack","2018-07-12","2022-07-11","4.00"
"11","11","AlphaTech","Administrador de Sistemas","2017-10-01","2021-12-20","4.21"
"12","12","InfoPlus","Suporte Técnico","2020-03-15","2023-06-01","3.21"
"13","13","Tech Solutions Ltda","Desenvolvedor Júnior","2018-01-20","2020-12-31","2.94"
"14","14","Inova Corp","Analista de Dados","2019-04-15","2023-02-01","3.85"
"15","15","Global Systems","Engenheiro de Software","2017-09-10","2021-11-20","4.20"
"16","16","Smart Solutions","Analista de Suporte","2018-03-01","2021-05-01","3.17"
"17","17","WebTech Digital","Programador Front-End","2020-02-10","2023-04-25","3.21"
"18","18","Data Experts","Cientista de Dados","2017-06-01","2022-06-30","5.08"
"19","19","SoftHouse","Desenvolvedor Back-End","2019-05-01","2023-07-20","4.21"
"20","20","NextGen Software","Engenheiro de Testes","2016-09-15","2020-11-10","4.16"
"21","21","DigitalMind","Analista de Segurança","2018-04-05","2022-03-30","3.98"
"22","22","CodeWorks","Programador Full Stack","2019-01-01","2022-12-15","3.95"
"23","23","AlphaTech","Administrador de Sistemas","2017-08-10","2021-06-20","3.86"
"24","24","InfoPlus","Suporte Técnico","2018-11-01","2023-01-01","4.17"
"25","25","Tech Solutions Ltda","Desenvolvedor Júnior","2019-03-12","2022-06-15","3.27"
"26","26","Inova Corp","Analista de Dados","2018-10-20","2023-02-28","4.35"
"27","27","Global Systems","Engenheiro de Software","2016-07-01","2020-12-15","4.46"
"28","28","Smart Solutions","Analista de Suporte","2019-05-01","2022-07-01","3.17"
"29","29","WebTech Digital","Programador Front-End","2017-01-01","2020-01-01","3.00"
