"id_entrevista","id_candidatura","entrevistador","data_entrevista","nota","feedback"
"1","1","Ana Silva","2024-09-24","7.96","Ótimo conhecimento em backend; demonstrou arquitetura e testes adequados."
"2","2","Bruno Costa","2024-11-27","2.66","Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance."
"3","3","Carla Mendes","2024-12-14","8.21","Domínio em frontend e usabilidade; código limpo e bem organizado."
"4","4","Diego Rocha","2025-01-28","5.82","Pouca experiência prática em automação; abordagens de teste não foram suficientes."
"5","5","Eduardo Lima","2025-03-18","7.90","Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines."
"6","6","Fernanda Souza","2025-05-26","4.52","Metodologia de ML fraca; resultados sem validação estatística adequada."
"7","7","Gabriel Pereira","2025-06-30","7.35","Domínio em frontend e usabilidade; código limpo e bem organizado."
"8","8","Helena Castro","2025-08-01","4.97","Portfólio limitado; problemas em justificar decisões de design."
"9","9","Igor Ramos","2025-08-15","6.14","Boa postura para estágio; precisa de treinamento prático."
"10","10","Juliana Alves","2024-09-23","3.66","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"11","11","Luís Oliveira","2024-12-04","8.25","Ótimo raciocínio lógico e experiência prática relevante."
"12","12","Marina Santos","2024-12-16","3.87","Conceitos de engenharia de dados insuficientes para a vaga."
"13","13","Ana Silva","2025-01-26","8.26","Domínio em frontend e usabilidade; código limpo e bem organizado."
"14","14","Bruno Costa","2025-03-23","3.01","Pouca experiência prática em automação; abordagem incompleta em testes."
"15","15","Carla Mendes","2025-06-02","8.59","Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines."
"16","16","Diego Rocha","2025-07-09","4.29","Metodologia de ML fraca; falta de validação em resultados."
"17","17","Eduardo Lima","2025-08-06","8.40","Versátil; demonstra competência tanto em backend quanto frontend."
"18","18","Fernanda Souza","2025-08-15","4.03","Portfólio limitado; problemas em justificar decisões de design."
"19","19","Gabriel Pereira","2024-09-19","8.09","Boa postura para estágio; aprendizado rápido e disposição prática."
"20","20","Helena Castro","2024-12-02","3.64","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"21","21","Igor Ramos","2024-12-18","7.31","Bom entendimento em support; postura adequada para posição júnior."
"22","22","Juliana Alves","2025-01-25","3.32","Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance."
"23","23","Luís Oliveira","2025-03-17","8.12","Domínio em frontend e usabilidade; contribuição técnica relevante."
"24","24","Marina Santos","2025-06-05","3.95","Pouca experiência prática em automação; abordagem incompleta em testes."
