id_experiencia,id_candidato,empresa,cargo,data_inicio,data_fim,anos_experiencia,dias_experiencia
1,1,Tech Solutions Ltda,Desenvolvedor Júnior,2019-02-01,2021-05-31,2.25,850
2,2,Inova Corp,Analista de Dados,2018-03-15,2022-08-30,4.46,1629
3,3,Global Systems,Engenheiro de Software,2020-01-10,2023-03-20,3.2,1165
4,4,Smart Solutions,Analista de Suporte,2017-05-20,2020-11-15,3.5,1275
5,5,WebTech Digital,Programador Front-End,2019-06-01,2022-05-30,3.0,1094
6,6,Data Experts,Cientista de Dados,2016-09-10,2021-12-01,5.23,1908
7,7,SoftHouse,Desenvolvedor Back-End,2018-08-15,2023-01-25,4.45,1624
8,8,NextGen Software,Engenheiro de Testes,2017-04-01,2020-09-15,3.45,1263
9,9,DigitalMind,Analista de Segurança,2019-01-05,2023-02-10,4.1,1497
10,10,CodeWorks,Programador Full Stack,2018-07-12,2022-07-11,4.0,1460
11,11,AlphaTech,Administrador de Sistemas,2017-10-01,2021-12-20,4.21,1541
12,12,InfoPlus,Suporte Técnico,2020-03-15,2023-06-01,3.21,1173
13,13,Tech Solutions Ltda,Desenvolvedor Júnior,2018-01-20,2020-12-31,2.94,1076
14,14,Inova Corp,Analista de Dados,2019-04-15,2023-02-01,3.85,1388
15,15,Global Systems,Engenheiro de Software,2017-09-10,2021-11-20,4.2,1532
16,16,Smart Solutions,Analista de Suporte,2018-03-01,2021-05-01,3.17,1157
17,17,WebTech Digital,Programador Front-End,2020-02-10,2023-04-25,3.21,1170
18,18,Data Experts,Cientista de Dados,2017-06-01,2022-06-30,5.08,1855
19,19,SoftHouse,Desenvolvedor Back-End,2019-05-01,2023-07-20,4.21,1541
20,20,NextGen Software,Engenheiro de Testes,2016-09-15,2020-11-10,4.16,1517
21,21,DigitalMind,Analista de Segurança,2018-04-05,2022-03-30,3.98,1455
22,22,CodeWorks,Programador Full Stack,2019-01-01,2022-12-15,3.95,1444
23,23,AlphaTech,Administrador de Sistemas,2017-08-10,2021-06-20,3.86,1410
24,24,InfoPlus,Suporte Técnico,2018-11-01,2023-01-01,4.17,1522
25,25,Tech Solutions Ltda,Desenvolvedor Júnior,2019-03-12,2022-06-15,3.27,1191
26,26,Inova Corp,Analista de Dados,2018-10-20,2023-02-28,4.35,1592
27,27,Global Systems,Engenheiro de Software,2016-07-01,2020-12-15,4.46,1628
28,28,Smart Solutions,Analista de Suporte,2019-05-01,2022-07-01,3.17,1157
29,29,WebTech Digital,Programador Front-End,2017-01-01,2020-01-01,3.0,1095
30,30,Data Experts,Cientista de Dados,2018-09-10,2023-03-01,4.46,1633
31,31,SoftHouse,Desenvolvedor Back-End,2019-06-15,2022-08-20,3.18,1162
32,32,NextGen Software,Engenheiro de Testes,2017-03-01,2020-07-15,3.37,1232
33,33,DigitalMind,Analista de Segurança,2018-12-01,2022-10-01,3.83,1400
34,34,CodeWorks,Programador Full Stack,2017-11-01,2022-01-01,4.17,1522
35,35,AlphaTech,Administrador de Sistemas,2019-08-15,2023-06-30,3.87,1415
36,36,InfoPlus,Suporte Técnico,2018-04-01,2021-08-01,3.33,1218
37,37,Tech Solutions Ltda,Desenvolvedor Júnior,2016-02-15,2019-06-30,3.37,1231
38,38,Inova Corp,Analista de Dados,2017-06-01,2021-09-30,4.33,1582
39,39,Global Systems,Engenheiro de Software,2018-08-10,2023-01-15,4.43,1619
40,40,Smart Solutions,Analista de Suporte,2019-01-01,2022-04-01,3.25,1186
41,41,WebTech Digital,Programador Front-End,2017-05-01,2020-10-01,3.42,1249
42,42,Data Experts,Cientista de Dados,2016-09-01,2021-03-01,4.5,1642
43,43,SoftHouse,Desenvolvedor Back-End,2018-02-15,2022-06-15,4.33,1581
44,44,NextGen Software,Engenheiro de Testes,2019-06-01,2023-01-15,3.62,1324
45,45,DigitalMind,Analista de Segurança,2017-09-01,2020-09-01,3.0,1096
46,46,CodeWorks,Programador Full Stack,2018-11-15,2022-08-15,3.75,1369
47,47,AlphaTech,Administrador de Sistemas,2016-06-01,2020-08-01,4.17,1522
48,48,InfoPlus,Suporte Técnico,2017-08-15,2021-07-01,3.87,1416
49,49,Tech Solutions Ltda,Desenvolvedor Júnior,2020-03-01,2023-05-15,3.21,1170
50,50,Inova Corp,Analista de Dados,2018-05-10,2022-10-20,4.44,1624
51,51,Global Systems,Engenheiro de Software,2017-11-01,2021-02-10,3.28,1197
52,52,Smart Solutions,Analista de Suporte,2019-02-20,2022-08-15,3.48,1272
53,53,WebTech Digital,Programador Front-End,2018-07-01,2021-11-30,3.42,1248
54,54,Data Experts,Cientista de Dados,2017-01-15,2022-04-01,5.21,1902
55,55,SoftHouse,Desenvolvedor Back-End,2019-09-01,2023-03-10,3.52,1286
56,56,NextGen Software,Engenheiro de Testes,2018-02-01,2021-08-15,3.54,1291
57,57,DigitalMind,Analista de Segurança,2020-01-10,2023-05-20,3.36,1226
58,58,CodeWorks,Programador Full Stack,2017-08-12,2021-09-11,4.08,1491
59,59,AlphaTech,Administrador de Sistemas,2018-11-01,2022-12-20,4.13,1510
60,60,InfoPlus,Suporte Técnico,2019-04-15,2022-09-01,3.38,1235
61,61,Tech Solutions Ltda,Desenvolvedor Júnior,2018-02-20,2021-01-31,2.94,1076
62,62,Inova Corp,Analista de Dados,2020-03-15,2023-05-01,3.13,1142
63,63,Global Systems,Engenheiro de Software,2018-09-10,2022-11-20,4.2,1532
64,64,Smart Solutions,Analista de Suporte,2017-03-01,2020-06-01,3.25,1188
65,65,WebTech Digital,Programador Front-End,2019-02-10,2022-04-25,3.21,1170
66,66,Data Experts,Cientista de Dados,2018-06-01,2023-06-30,5.08,1855
67,67,SoftHouse,Desenvolvedor Back-End,2020-05-01,2023-08-20,3.3,1206
68,68,NextGen Software,Engenheiro de Testes,2017-09-15,2021-11-10,4.15,1517
69,69,DigitalMind,Analista de Segurança,2019-04-05,2023-03-30,3.98,1455
70,70,CodeWorks,Programador Full Stack,2020-01-01,2023-12-15,3.95,1444
71,71,AlphaTech,Administrador de Sistemas,2018-08-10,2022-06-20,3.86,1410
72,72,InfoPlus,Suporte Técnico,2019-11-01,2023-02-01,3.25,1188
73,73,Tech Solutions Ltda,Desenvolvedor Júnior,2017-04-12,2020-07-15,3.26,1190
74,74,Inova Corp,Analista de Dados,2019-10-20,2023-03-28,3.44,1255
75,75,Global Systems,Engenheiro de Software,2017-07-01,2021-12-15,4.46,1628
76,76,Smart Solutions,Analista de Suporte,2020-05-01,2023-08-01,3.25,1187
77,77,WebTech Digital,Programador Front-End,2018-01-01,2021-02-01,3.08,1127
78,78,Data Experts,Cientista de Dados,2019-09-10,2023-04-01,3.56,1299
79,79,SoftHouse,Desenvolvedor Back-End,2020-06-15,2023-09-20,3.26,1192
80,80,NextGen Software,Engenheiro de Testes,2018-03-01,2021-08-15,3.45,1263
81,81,DigitalMind,Analista de Segurança,2019-12-01,2023-11-01,3.92,1431
82,82,CodeWorks,Programador Full Stack,2018-11-01,2023-02-01,4.25,1553
83,83,AlphaTech,Administrador de Sistemas,2020-08-15,2023-07-30,2.96,1079
84,84,InfoPlus,Suporte Técnico,2019-04-01,2022-09-01,3.42,1249
85,85,Tech Solutions Ltda,Desenvolvedor Júnior,2017-02-15,2020-05-30,3.29,1200
86,86,Inova Corp,Analista de Dados,2018-06-01,2022-08-30,4.25,1551
87,87,Global Systems,Engenheiro de Software,2019-08-10,2023-02-15,3.51,1285
88,88,Smart Solutions,Analista de Suporte,2020-01-01,2023-05-01,3.33,1216
89,89,WebTech Digital,Programador Front-End,2018-05-01,2021-11-01,3.5,1280
90,90,Data Experts,Cientista de Dados,2017-09-01,2022-04-01,4.58,1673
91,91,SoftHouse,Desenvolvedor Back-End,2019-02-15,2022-07-15,3.41,1246
