id_candidatura,id_candidato,id_vaga,data_candidatura,origem,curriculo_texto,status_cand,experiencia_media_anos,contratado,tempo_candidatura
1,1,1,2024-09-10,LinkedIn,Formação em Ciência da Computação; 3 anos em backend.,contratado,2.25,1,337
2,2,2,2024-11-20,Site,Engenheiro de dados; experiência em ETL e SQL.,recusado,4.46,0,266
3,3,3,2024-12-05,Indicação,"Desenvolvedor frontend; React, HTML, CSS.",contratado,3.2,1,251
4,4,4,2025-01-15,email,Analista de QA; testes automatizados com Selenium.,recusado,3.5,0,210
5,5,5,2025-03-10,Facebook,DevOps com experiência em AWS e Docker.,contratado,3.0,1,156
6,6,6,2025-05-22,Instagram,"Data scientist; ML, Python, pandas.",recusado,5.23,0,83
7,7,7,2025-06-25,LinkedIn,Fullstack; Node.js e React.,contratado,4.45,1,49
8,8,8,2025-07-30,Site,UI/UX designer; Figma e prototipagem.,recusado,3.45,0,14
9,9,9,2025-08-01,Indicação,Estagiário com foco em suporte técnico.,contratado,4.1,1,12
10,10,10,2024-09-10,email,Gerente de projetos; Scrum e Kanban.,recusado,4.0,0,337
11,11,11,2024-11-20,Facebook,Formação em Ciência da Computação; 3 anos em backend.,contratado,4.21,1,266
12,12,12,2024-12-05,Instagram,Engenheiro de dados; experiência em ETL e SQL.,recusado,3.21,0,251
13,13,1,2025-01-15,LinkedIn,"Desenvolvedor frontend; React, HTML, CSS.",contratado,2.94,1,210
14,14,2,2025-03-10,Site,Analista de QA; testes automatizados com Selenium.,recusado,3.85,0,156
15,15,3,2025-05-22,Indicação,DevOps com experiência em AWS e Docker.,contratado,4.2,1,83
16,16,4,2025-06-25,email,"Data scientist; ML, Python, pandas.",recusado,3.17,0,49
17,17,5,2025-07-30,Facebook,Fullstack; Node.js e React.,contratado,3.21,1,14
18,18,6,2025-08-01,Instagram,UI/UX designer; Figma e prototipagem.,recusado,5.08,0,12
19,19,7,2024-09-10,LinkedIn,Estagiário com foco em suporte técnico.,contratado,4.21,1,337
20,20,8,2024-11-20,Site,Gerente de projetos; Scrum e Kanban.,recusado,4.16,0,266
21,21,9,2024-12-05,Indicação,Formação em Ciência da Computação; 3 anos em backend.,contratado,3.98,1,251
22,22,10,2025-01-15,email,Engenheiro de dados; experiência em ETL e SQL.,recusado,3.95,0,210
23,23,11,2025-03-10,Facebook,"Desenvolvedor frontend; React, HTML, CSS.",contratado,3.86,1,156
24,24,12,2025-05-22,Instagram,Analista de QA; testes automatizados com Selenium.,recusado,4.17,0,83
25,25,1,2025-06-25,LinkedIn,DevOps com experiência em AWS e Docker.,contratado,3.27,1,49
26,26,2,2025-07-30,Site,"Data scientist; ML, Python, pandas.",recusado,4.35,0,14
27,27,3,2025-08-01,Indicação,Fullstack; Node.js e React.,contratado,4.46,1,12
28,28,4,2024-09-10,email,UI/UX designer; Figma e prototipagem.,recusado,3.17,0,337
29,29,5,2024-11-20,Facebook,Estagiário com foco em suporte técnico.,contratado,3.0,1,266
30,30,6,2024-12-05,Instagram,Gerente de projetos; Scrum e Kanban.,recusado,4.46,0,251
31,31,7,2025-01-15,LinkedIn,Formação em Ciência da Computação; 3 anos em backend.,contratado,3.18,1,210
32,32,8,2025-03-10,Site,Engenheiro de dados; experiência em ETL e SQL.,recusado,3.37,0,156
33,33,9,2025-05-22,Indicação,"Desenvolvedor frontend; React, HTML, CSS.",contratado,3.83,1,83
34,34,10,2025-06-25,email,Analista de QA; testes automatizados com Selenium.,recusado,4.17,0,49
35,35,11,2025-07-30,Facebook,DevOps com experiência em AWS e Docker.,contratado,3.87,1,14
36,36,12,2025-08-01,Instagram,"Data scientist; ML, Python, pandas.",recusado,3.33,0,12
37,37,1,2024-09-10,LinkedIn,Fullstack; Node.js e React.,contratado,3.37,1,337
38,38,2,2024-11-20,Site,UI/UX designer; Figma e prototipagem.,recusado,4.33,0,266
39,39,3,2024-12-05,Indicação,Estagiário com foco em suporte técnico.,contratado,4.43,1,251
40,40,4,2025-01-15,email,Gerente de projetos; Scrum e Kanban.,recusado,3.25,0,210
41,41,5,2025-03-10,Facebook,Formação em Ciência da Computação; 3 anos em backend.,contratado,3.42,1,156
42,42,6,2025-05-22,Instagram,Engenheiro de dados; experiência em ETL e SQL.,recusado,4.5,0,83
43,43,7,2025-06-25,LinkedIn,"Desenvolvedor frontend; React, HTML, CSS.",contratado,4.33,1,49
44,44,8,2025-07-30,Site,Analista de QA; testes automatizados com Selenium.,recusado,3.62,0,14
45,45,9,2025-08-01,Indicação,DevOps com experiência em AWS e Docker.,contratado,3.0,1,12
46,46,10,2024-09-10,email,"Data scientist; ML, Python, pandas.",recusado,3.75,0,337
47,47,11,2024-11-20,Facebook,Fullstack; Node.js e React.,contratado,4.17,1,266
48,48,12,2024-12-05,Instagram,UI/UX designer; Figma e prototipagem.,recusado,3.87,0,251
49,49,1,2025-01-15,LinkedIn,Estagiário com foco em suporte técnico.,contratado,3.21,1,210
50,50,2,2025-03-10,Site,Gerente de projetos; Scrum e Kanban.,recusado,4.44,0,156
51,51,3,2025-05-22,Indicação,Formação em Ciência da Computação; 3 anos em backend.,contratado,3.28,1,83
52,52,4,2025-06-25,email,Engenheiro de dados; experiência em ETL e SQL.,recusado,3.48,0,49
53,53,5,2025-07-30,Facebook,"Desenvolvedor frontend; React, HTML, CSS.",contratado,3.42,1,14
54,54,6,2025-08-01,Instagram,Analista de QA; testes automatizados com Selenium.,recusado,5.21,0,12
55,55,7,2024-09-10,LinkedIn,DevOps com experiência em AWS e Docker.,contratado,3.52,1,337
56,56,8,2024-11-20,Site,"Data scientist; ML, Python, pandas.",recusado,3.54,0,266
57,57,9,2024-12-05,Indicação,Fullstack; Node.js e React.,contratado,3.36,1,251
58,58,10,2025-01-15,email,UI/UX designer; Figma e prototipagem.,recusado,4.08,0,210
59,59,11,2025-03-10,Facebook,Estagiário com foco em suporte técnico.,contratado,4.13,1,156
60,60,12,2025-05-22,Instagram,Gerente de projetos; Scrum e Kanban.,recusado,3.38,0,83
61,61,1,2025-06-25,LinkedIn,Formação em Ciência da Computação; 3 anos em backend.,contratado,2.94,1,49
62,62,2,2025-07-30,Site,Engenheiro de dados; experiência em ETL e SQL.,recusado,3.13,0,14
63,63,3,2025-08-01,Indicação,"Desenvolvedor frontend; React, HTML, CSS.",contratado,4.2,1,12
64,64,4,2024-09-10,email,Analista de QA; testes automatizados com Selenium.,recusado,3.25,0,337
65,65,5,2024-11-20,Facebook,DevOps com experiência em AWS e Docker.,contratado,3.21,1,266
66,66,6,2024-12-05,Instagram,"Data scientist; ML, Python, pandas.",recusado,5.08,0,251
67,67,7,2025-01-15,LinkedIn,Fullstack; Node.js e React.,contratado,3.3,1,210
68,68,8,2025-03-10,Site,UI/UX designer; Figma e prototipagem.,recusado,4.15,0,156
69,69,9,2025-05-22,Indicação,Estagiário com foco em suporte técnico.,contratado,3.98,1,83
70,70,10,2025-06-25,email,Gerente de projetos; Scrum e Kanban.,recusado,3.95,0,49
71,71,11,2025-07-30,Facebook,Formação em Ciência da Computação; 3 anos em backend.,contratado,3.86,1,14
72,72,12,2025-08-01,Instagram,Engenheiro de dados; experiência em ETL e SQL.,recusado,3.25,0,12
73,73,1,2024-09-10,LinkedIn,"Desenvolvedor frontend; React, HTML, CSS.",contratado,3.26,1,337
74,74,2,2024-11-20,Site,Analista de QA; testes automatizados com Selenium.,recusado,3.44,0,266
75,75,3,2024-12-05,Indicação,DevOps com experiência em AWS e Docker.,contratado,4.46,1,251
76,76,4,2025-01-15,email,"Data scientist; ML, Python, pandas.",recusado,3.25,0,210
77,77,5,2025-03-10,Facebook,Fullstack; Node.js e React.,contratado,3.08,1,156
78,78,6,2025-05-22,Instagram,UI/UX designer; Figma e prototipagem.,recusado,3.56,0,83
79,79,7,2025-06-25,LinkedIn,Estagiário com foco em suporte técnico.,contratado,3.26,1,49
80,80,8,2025-07-30,Site,Gerente de projetos; Scrum e Kanban.,recusado,3.45,0,14
81,81,9,2025-08-01,Indicação,Formação em Ciência da Computação; 3 anos em backend.,contratado,3.92,1,12
82,82,10,2024-09-10,email,Engenheiro de dados; experiência em ETL e SQL.,recusado,4.25,0,337
83,83,11,2024-11-20,Facebook,"Desenvolvedor frontend; React, HTML, CSS.",contratado,2.96,1,266
84,84,12,2024-12-05,Instagram,Analista de QA; testes automatizados com Selenium.,recusado,3.42,0,251
85,85,1,2025-01-15,LinkedIn,DevOps com experiência em AWS e Docker.,contratado,3.29,1,210
86,86,2,2025-03-10,Site,"Data scientist; ML, Python, pandas.",recusado,4.25,0,156
87,87,3,2025-05-22,Indicação,Fullstack; Node.js e React.,contratado,3.51,1,83
88,88,4,2025-06-25,email,UI/UX designer; Figma e prototipagem.,recusado,3.33,0,49
89,89,5,2025-07-30,Facebook,Estagiário com foco em suporte técnico.,contratado,3.5,1,14
90,90,6,2025-08-01,Instagram,Gerente de projetos; Scrum e Kanban.,recusado,4.58,0,12
91,91,7,2024-09-10,LinkedIn,Formação em Ciência da Computação; 3 anos em backend.,contratado,3.41,1,337
92,92,8,2024-11-20,Site,Engenheiro de dados; experiência em ETL e SQL.,recusado,2.71,0,266
93,93,9,2024-12-05,Indicação,"Desenvolvedor frontend; React, HTML, CSS.",contratado,3.08,1,251
94,94,10,2025-01-15,email,Analista de QA; testes automatizados com Selenium.,recusado,3.83,0,210
95,95,11,2025-03-10,Facebook,DevOps com experiência em AWS e Docker.,contratado,4.25,1,156
96,96,12,2025-05-22,Instagram,"Data scientist; ML, Python, pandas.",recusado,3.96,0,83
97,97,1,2025-06-25,LinkedIn,Fullstack; Node.js e React.,contratado,3.29,1,49
98,98,2,2025-07-30,Site,UI/UX designer; Figma e prototipagem.,recusado,4.43,0,14
99,99,3,2025-08-01,Indicação,Estagiário com foco em suporte técnico.,contratado,4.36,1,12
100,100,4,2024-09-10,email,Gerente de projetos; Scrum e Kanban.,recusado,3.46,0,337
101,101,3,2024-05-10,LinkedIn,"Desenvolvedor Full Stack com 5 anos de experiência em JavaScript, React e Node.js. Focado em criar aplicações web escaláveis e de alta performance.",entrevista,5.5,0,460
102,102,1,2024-03-22,Site,"Recém-formada em Administração, buscando primeira oportunidade na área de Recursos Humanos. Habilidades com Pacote Office e comunicação interpessoal.",triagem,0.0,0,509
103,103,8,2024-06-01,Indicação,Gerente de Projetos com certificação PMP e mais de 10 anos de experiência liderando equipes de TI em projetos de grande porte.,contratado,10.0,1,438
104,104,5,2024-04-15,LinkedIn,Analista de Marketing Digital com foco em SEO e Google Analytics. Experiência em campanhas de performance e mídias sociais.,recusado,3.0,0,485
105,105,11,2024-05-20,Site,Sem resumo de currículo,entrevista,8.0,0,450
106,106,2,2024-02-18,LinkedIn,Designer Gráfico com portfólio em criação de identidades visuais e materiais para redes sociais. Domínio do pacote Adobe.,triagem,4.0,0,542
107,107,12,2024-06-05,Indicação,"Cientista de Dados Sênior, especialista em Machine Learning e Python. Experiência com modelos preditivos e análise de grandes volumes de dados.",entrevista,9.5,0,434
108,108,1,2024-01-30,vagas.com,Estudante de Letras buscando estágio em revisão de textos. Excelente gramática e atenção aos detalhes.,recusado,4.0,0,561
109,109,3,2024-05-12,LinkedIn,Desenvolvedor Java com experiência em Spring Boot e microserviços. Conhecimentos em AWS e Docker.,contratado,6.0,1,458
110,110,4,2024-03-08,Site,Cursando o 4º semestre de Engenharia de Produção. Busco oportunidade de estágio na área de Logística.,triagem,1.5,0,523
111,111,7,2024-06-10,Indicação,"Analista Financeiro com experiência em contas a pagar, contas a receber e conciliação bancária.",entrevista,7.0,0,429
112,112,6,2024-04-02,Catho,Técnico em Enfermagem com experiência em atendimento de emergência e cuidados intensivos.,recusado,2.5,0,498
113,113,3,2024-05-25,LinkedIn,Programador PHP com foco em Laravel e desenvolvimento de APIs REST. Experiência com MySQL e Git.,entrevista,4.0,0,445
114,114,1,2024-02-05,Site,Sem resumo de currículo,triagem,0.0,0,555
115,115,9,2024-06-11,Indicação,Arquiteto de Soluções Cloud com certificação AWS. Experiência em migração de sistemas para a nuvem e otimização de custos.,contratado,12.0,1,428
116,116,2,2024-03-14,LinkedIn,UI/UX Designer focado na experiência do usuário e criação de interfaces intuitivas para aplicativos móveis.,entrevista,5.0,0,517
117,117,8,2024-05-09,Site,"Coordenador de Projetos com experiência em metodologias ágeis (Scrum, Kanban).",recusado,8.5,0,461
118,118,10,2024-01-20,vagas.com,Sem resumo de currículo,triagem,4.0,0,571
119,119,3,2024-06-15,LinkedIn,Desenvolvedor .NET com experiência em C# e ASP.NET Core. Conhecimentos em SQL Server e Azure.,entrevista,4.5,0,424
120,120,1,2024-04-18,Site,Estudante de Psicologia buscando estágio em Recrutamento e Seleção.,triagem,0.0,0,482
121,121,12,2024-05-30,Indicação,"Engenheiro de Dados com experiência em ETL, Spark e Hadoop. Habilidade em construir e manter pipelines de dados.",contratado,11.0,1,440
122,122,4,2024-03-25,LinkedIn,Analista de Logística com foco em gestão de estoque e roteirização de entregas.,entrevista,4.0,0,506
123,123,9,2024-06-08,Site,"Especialista em Segurança da Informação, com conhecimento em testes de invasão e análise de vulnerabilidades.",entrevista,9.0,0,431
124,124,6,2024-02-11,Catho,Técnico em Segurança do Trabalho com experiência em indústria e construção civil.,recusado,3.0,0,549
125,125,5,2024-05-14,LinkedIn,"Especialista em Inbound Marketing, com foco em produção de conteúdo e automação de marketing com HubSpot.",contratado,5.0,1,456
126,126,2,2024-04-01,Site,"Web Designer com experiência em HTML, CSS e JavaScript. Criação de sites responsivos e otimizados.",triagem,4.0,0,499
127,127,8,2024-06-18,Indicação,Sem resumo de currículo,entrevista,10.5,0,421
128,128,1,2024-01-15,vagas.com,Jovem Aprendiz em busca da primeira experiência profissional na área administrativa.,recusado,0.0,0,576
129,129,3,2024-05-02,LinkedIn,Desenvolvedor Python com experiência em Django e Flask. Conhecimentos em PostgreSQL e Docker.,entrevista,3.5,0,468
130,130,11,2024-03-19,Site,DBA Oracle com mais de 15 anos de experiência em administração e tuning de bancos de dados de grande porte.,contratado,15.0,1,512
131,131,4,2024-06-20,Indicação,"Assistente de Logística, cursando superior na área. Experiência com emissão de notas fiscais e controle de frota.",triagem,2.0,0,419
132,132,7,2024-04-28,LinkedIn,"Contador com CRC ativo. Experiência em rotinas fiscais, contábeis e folha de pagamento.",entrevista,4.0,0,472
133,133,12,2024-05-18,Site,"Ph.D. em Estatística, com foco em modelagem para o mercado financeiro. Experiência com R e Python.",entrevista,10.0,0,452
134,134,8,2024-02-22,Indicação,Gerente de Produto com experiência no lançamento de produtos digitais e gestão de roadmap.,recusado,9.0,0,538
135,135,6,2024-06-03,Catho,Técnico em Radiologia com experiência em exames de tomografia e ressonância magnética.,triagem,2.0,0,436
136,136,3,2024-04-11,LinkedIn,Desenvolvedor Front-end com especialidade em Vue.js e SASS. Focado em performance e usabilidade.,contratado,5.0,1,489
137,137,9,2024-05-28,Site,"Analista de Infraestrutura de TI com experiência em servidores Windows e Linux, e virtualização com VMware.",entrevista,6.5,0,442
138,138,1,2024-01-09,vagas.com,Sem resumo de currículo,recusado,4.0,0,582
139,139,5,2024-06-21,Indicação,Redatora publicitária com experiência em agências e criação de campanhas para diversas mídias.,triagem,4.0,0,418
140,140,3,2024-03-04,LinkedIn,Desenvolvedor Mobile (Android) com experiência em Kotlin e Java. Publicação de apps na Play Store.,entrevista,4.0,0,527
141,141,6,2024-05-05,Site,Técnico de Laboratório com experiência em análises clínicas e controle de qualidade.,entrevista,2.0,0,465
142,142,8,2024-02-15,Indicação,"Scrum Master certificado, com experiência em facilitar cerimônias e remover impedimentos de equipes de desenvolvimento.",contratado,7.0,1,545
143,143,9,2024-06-13,LinkedIn,Sem resumo de currículo,recusado,11.0,0,426
144,144,1,2024-04-22,vagas.com,Busco primeira oportunidade de emprego. Ensino médio completo.,triagem,0.0,0,478
145,145,12,2024-05-22,Site,"Pesquisadora com doutorado em Biotecnologia, experiência em projetos de P&D na indústria farmacêutica.",entrevista,10.0,0,448
146,146,3,2024-03-29,Indicação,Desenvolvedor Ruby on Rails com experiência em TDD e BDD. Conhecimento em Heroku.,entrevista,5.5,0,502
147,147,2,2024-06-07,LinkedIn,"Product Designer com experiência em todo o ciclo de vida do produto, desde a pesquisa até o lançamento.",entrevista,4.0,0,432
148,148,11,2024-02-01,Site,Administrador de Banco de Dados SQL Server. Experiência com Always On e otimização de queries.,recusado,8.0,0,559
149,149,4,2024-05-16,Indicação,Comprador com experiência em negociação com fornecedores e gestão de contratos no setor industrial.,contratado,4.0,1,454
150,150,8,2024-04-05,LinkedIn,Agile Coach com experiência em transformação ágil de grandes corporações.,entrevista,9.0,0,495
151,151,1,2024-06-25,vagas.com,"Recém-formada em Secretariado Executivo, bilíngue (Inglês), em busca de oportunidade.",triagem,0.0,0,414
152,152,5,2024-03-11,Site,"Social Media com experiência em gestão de redes sociais, criação de conteúdo e análise de métricas para marcas de moda.",entrevista,5.0,0,520
153,153,3,2024-05-08,Indicação,Desenvolvedor iOS (Swift) com experiência em SwiftUI e UIKit. Portfólio de apps na App Store.,entrevista,4.0,0,462
154,154,11,2024-02-19,LinkedIn,Especialista em Business Intelligence com domínio de Power BI e Tableau. Experiência na criação de dashboards gerenciais.,contratado,10.0,1,541
155,155,6,2024-06-14,Catho,Técnico em Edificações com experiência em acompanhamento de obras e leitura de projetos.,recusado,3.0,0,425
156,156,12,2024-04-25,Site,Cientista de Alimentos com mestrado e experiência em desenvolvimento de novos produtos e controle de qualidade na indústria.,entrevista,9.0,0,475
157,157,8,2024-05-24,Indicação,Product Owner com experiência em priorização de backlog e definição de user stories para o setor financeiro.,entrevista,8.0,0,446
158,158,3,2024-03-01,LinkedIn,Engenheiro de Software com foco em arquitetura de sistemas distribuídos e alta disponibilidade.,entrevista,4.5,0,530
159,159,1,2024-01-25,vagas.com,Sem resumo de currículo,triagem,0.0,0,566
160,160,5,2024-06-02,Site,Assessor de Imprensa com experiência em relacionamento com a mídia e gestão de crises.,contratado,5.0,1,437
161,161,9,2024-04-14,Indicação,"Analista de Redes com certificação CCNA. Experiência com configuração de switches, roteadores e firewalls.",entrevista,7.0,0,486
162,162,3,2024-05-11,LinkedIn,Desenvolvedor Go (Golang) com experiência em desenvolvimento de APIs de alta performance.,recusado,4.0,0,459
163,163,6,2024-02-08,Catho,Técnico em Mecânica com experiência em manutenção de maquinário industrial.,triagem,2.0,0,552
164,164,12,2024-06-19,Site,"Físico com doutorado, especialista em simulações computacionais e análise de dados complexos.",entrevista,12.0,0,420
165,165,8,2024-03-23,Indicação,Gerente de Inovação com experiência em programas de intraempreendedorismo e conexão com startups.,entrevista,9.5,0,508
166,166,3,2024-05-29,LinkedIn,Engenheiro de QA/Testes com experiência em automação de testes com Selenium e Cypress.,contratado,5.0,1,441
167,167,5,2024-04-09,Site,Analista de Comunicação Interna. Experiência com planejamento de campanhas e eventos corporativos.,entrevista,4.0,0,491
168,168,11,2024-01-18,Indicação,Sem resumo de currículo,entrevista,8.0,0,573
169,169,1,2024-06-06,vagas.com,Estou no último ano do ensino médio e busco uma vaga de Jovem Aprendiz.,recusado,4.0,0,433
170,170,3,2024-03-15,LinkedIn,Desenvolvedor C++ com experiência em sistemas embarcados e de tempo real.,triagem,4.0,0,516
171,171,6,2024-05-13,Catho,Técnico em Eletrônica com experiência em manutenção de equipamentos hospitalares.,entrevista,2.5,0,457
172,172,4,2024-02-26,Site,"Estudante de Comércio Exterior, buscando estágio na área de importação e exportação.",contratado,1.0,1,534
173,173,8,2024-06-22,Indicação,Head de Produto (CPO) com vasta experiência em liderar times de produto em startups de tecnologia.,entrevista,14.0,0,417
