id_entrevista,id_candidatura,entrevistador,data_entrevista,nota,feedback,tempo_entrevista
1,1,Ana Silva,2024-09-24,7.96,Ótimo conhecimento em backend; demonstrou arquitetura e testes adequados.,323
2,2,Bruno Costa,2024-11-27,2.66,Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance.,259
3,3,Carla Mendes,2024-12-14,8.21,Domínio em frontend e usabilidade; código limpo e bem organizado.,242
4,4,Diego Rocha,2025-01-28,5.82,Pouca experiência prática em automação; abordagens de teste não foram suficientes.,197
5,5,Eduardo Lima,2025-03-18,7.9,Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines.,148
6,6,Fernanda Souza,2025-05-26,4.52,Metodologia de ML fraca; resultados sem validação estatística adequada.,79
7,7,Gabriel Pereira,2025-06-30,7.35,Domínio em frontend e usabilidade; código limpo e bem organizado.,44
8,8,Helena Castro,2025-08-01,4.97,Portfólio limitado; problemas em justificar decisões de design.,12
9,9,Igor Ramos,2025-08-15,6.14,Boa postura para estágio; precisa de treinamento prático.,-2
10,10,Juliana Alves,2024-09-23,3.66,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,324
11,11,Luís Oliveira,2024-12-04,8.25,Ótimo raciocínio lógico e experiência prática relevante.,252
12,12,Marina Santos,2024-12-16,3.87,Conceitos de engenharia de dados insuficientes para a vaga.,240
13,13,Ana Silva,2025-01-26,8.26,Domínio em frontend e usabilidade; código limpo e bem organizado.,199
14,14,Bruno Costa,2025-03-23,3.01,Pouca experiência prática em automação; abordagem incompleta em testes.,143
15,15,Carla Mendes,2025-06-02,8.59,Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines.,72
16,16,Diego Rocha,2025-07-09,4.29,Metodologia de ML fraca; falta de validação em resultados.,35
17,17,Eduardo Lima,2025-08-06,8.4,Versátil; demonstra competência tanto em backend quanto frontend.,7
18,18,Fernanda Souza,2025-08-15,4.03,Portfólio limitado; problemas em justificar decisões de design.,-2
19,19,Gabriel Pereira,2024-09-19,8.09,Boa postura para estágio; aprendizado rápido e disposição prática.,328
20,20,Helena Castro,2024-12-02,3.64,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,254
21,21,Igor Ramos,2024-12-18,7.31,Bom entendimento em support; postura adequada para posição júnior.,238
22,22,Juliana Alves,2025-01-25,3.32,Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance.,200
23,23,Luís Oliveira,2025-03-17,8.12,Domínio em frontend e usabilidade; contribuição técnica relevante.,149
24,24,Marina Santos,2025-06-05,3.95,Pouca experiência prática em automação; abordagem incompleta em testes.,69
25,25,Ana Silva,2025-07-08,8.02,Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines.,36
26,26,Bruno Costa,2025-08-12,4.58,Metodologia de ML fraca; falta de validação em resultados.,1
27,27,Carla Mendes,2025-08-10,8.33,Versátil; demonstra competência tanto em backend quanto frontend.,3
28,28,Diego Rocha,2024-09-24,3.05,Portfólio limitado; problemas em justificar decisões de design.,323
29,29,Eduardo Lima,2024-12-03,7.94,Boa postura para estágio; entrega consistente em atividades práticas.,253
30,30,Fernanda Souza,2024-12-17,3.54,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,239
31,31,Gabriel Pereira,2025-01-27,8.04,Sólida formação; bom fit com necessidades do time.,198
32,32,Helena Castro,2025-03-24,3.9,Conceitos de engenharia de dados insuficientes para a vaga.,142
33,33,Igor Ramos,2025-06-05,8.22,Domínio em frontend e usabilidade; contribuição positiva para a equipe.,69
34,34,Juliana Alves,2025-07-01,3.59,Pouca experiência prática em automação; abordagem incompleta em testes.,43
35,35,Luís Oliveira,2025-09-02,8.85,Experiência prática em DevOps e infraestrutura; liderança técnica.,-20
36,36,Marina Santos,2025-08-15,3.9,Metodologia de ML fraca; falta de validação em resultados.,-2
37,37,Ana Silva,2024-09-19,8.03,Versátil; demonstra competência tanto em backend quanto frontend.,328
38,38,Bruno Costa,2024-11-30,3.9,Portfólio limitado; dificuldades ao justificar escolhas de design.,256
39,39,Carla Mendes,2024-12-20,8.31,Boa postura para estágio; entrega consistente e vontade de aprender.,236
40,40,Diego Rocha,2025-01-25,3.96,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,200
41,41,Eduardo Lima,2025-03-17,8.13,Ótimo conhecimento em backend; entrega técnica consistente.,149
42,42,Fernanda Souza,2025-06-02,3.72,Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance.,72
43,43,Gabriel Pereira,2025-07-05,8.02,Domínio em frontend e usabilidade; muito boa comunicação.,39
44,44,Helena Castro,2025-08-03,3.43,Pouca experiência prática em automação; abordagens de teste não foram suficientes.,10
45,45,Igor Ramos,2025-08-10,8.89,Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines.,3
46,46,Juliana Alves,2024-09-28,3.34,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,319
47,47,Luís Oliveira,2024-11-28,8.3,Versátil; demonstra competência tanto em backend quanto frontend.,258
48,48,Marina Santos,2024-12-10,3.58,Portfólio limitado; dificuldades ao justificar escolhas de design.,246
49,49,Ana Silva,2025-01-24,8.16,Boa postura para estágio; rápido aprendizado e colaboração.,201
50,50,Bruno Costa,2025-03-16,3.96,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,150
51,51,Carla Mendes,2025-06-08,8.61,Sólida formação e entregas de qualidade; boa comunicação técnica.,66
52,52,Diego Rocha,2025-07-10,4.46,Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance.,34
53,53,Eduardo Lima,2025-08-05,8.12,Domínio em frontend e usabilidade; entrega técnica relevante.,8
54,54,Fernanda Souza,2025-08-11,3.52,Metodologia de ML fraca; falta de validação em resultados.,2
55,55,Gabriel Pereira,2024-09-14,8.01,Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines.,333
56,56,Helena Castro,2024-12-01,3.98,Portfólio limitado; dificuldades ao justificar escolhas de design.,255
57,57,Igor Ramos,2024-12-19,8.33,Versátil; demonstra competência tanto em backend quanto frontend.,237
58,58,Juliana Alves,2025-01-25,3.41,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,200
59,59,Luís Oliveira,2025-03-20,8.19,Boa postura para estágio; entrega consistente e atenção a detalhes.,146
60,60,Marina Santos,2025-05-29,3.67,Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance.,76
61,61,Ana Silva,2025-07-07,8.07,Ótimo conhecimento em backend; capacidade de entrega e testes adequados.,37
62,62,Bruno Costa,2025-08-10,3.74,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,3
63,63,Carla Mendes,2025-08-27,8.32,Domínio em frontend e usabilidade; entrega de qualidade.,-14
64,64,Diego Rocha,2024-09-20,3.52,Pouca experiência prática em automação; abordagens de teste não foram suficientes.,327
65,65,Eduardo Lima,2024-12-03,8.63,Experiência prática em DevOps e infraestrutura; ótima capacidade técnica.,253
66,66,Fernanda Souza,2024-12-20,3.35,Metodologia de ML fraca; falta de validação em resultados.,236
67,67,Gabriel Pereira,2025-01-27,8.19,Versátil; demonstra competência tanto em backend quanto frontend.,198
68,68,Helena Castro,2025-03-12,3.96,Portfólio limitado; dificuldades ao justificar escolhas de design.,154
69,69,Igor Ramos,2025-06-10,8.51,Boa postura para estágio; entrega consistente e vontade de aprender.,64
70,70,Juliana Alves,2025-07-03,3.97,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,41
71,71,Luís Oliveira,2025-08-06,8.0,Sólida formação e entregas de qualidade; bom fit cultural.,7
72,72,Marina Santos,2025-08-15,3.88,Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance.,-2
73,73,Ana Silva,2024-09-23,8.24,Domínio em frontend e usabilidade; entrega de qualidade.,324
74,74,Bruno Costa,2024-11-29,3.17,Portfólio limitado; dificuldades ao justificar escolhas de design.,257
75,75,Carla Mendes,2024-12-16,8.52,Experiência prática em DevOps e infraestrutura; boa execução.,240
76,76,Diego Rocha,2025-01-28,3.05,Metodologia de ML fraca; falta de validação em resultados.,197
77,77,Eduardo Lima,2025-03-19,8.05,Versátil; demonstra competência tanto em backend quanto frontend.,147
78,78,Fernanda Souza,2025-05-25,4.82,Portfólio limitado; dificuldades ao justificar escolhas de design.,80
79,79,Gabriel Pereira,2025-06-29,8.33,Boa postura para estágio; entrega consistente e atenção a detalhes.,45
80,80,Helena Castro,2025-08-12,3.35,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,1
81,81,Igor Ramos,2025-08-15,8.79,Experiência prática em DevOps e infraestrutura; capacidade de entrega.,-2
82,82,Juliana Alves,2024-09-18,3.05,Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance.,329
83,83,Luís Oliveira,2024-12-08,8.21,Domínio em frontend e usabilidade; entrega de qualidade.,248
84,84,Marina Santos,2024-12-17,3.86,Pouca experiência prática em automação; abordagens de teste não foram suficientes.,239
85,85,Ana Silva,2025-01-22,8.26,Experiência prática em DevOps e infraestrutura; performance consistente.,203
86,86,Bruno Costa,2025-03-18,3.05,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,148
87,87,Carla Mendes,2025-06-10,8.26,Versátil; demonstra competência tanto em backend quanto frontend.,64
88,88,Diego Rocha,2025-07-09,3.02,Portfólio limitado; dificuldades ao justificar escolhas de design.,35
89,89,Eduardo Lima,2025-08-14,8.06,Boa postura para estágio; entrega consistente e vontade de aprender.,-1
90,90,Fernanda Souza,2025-08-12,3.08,Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times.,1
91,91,Gabriel Pereira,2024-09-21,8.3,Versátil; demonstra competência tanto em backend quanto frontend.,326
92,92,Helena Castro,2024-12-04,3.1,Portfólio limitado; dificuldades ao justificar escolhas de design.,252
93,93,Igor Ramos,2024-12-29,8.53,Boa postura para estágio; entrega consistente e atenção a detalhes.,227
94,94,Juliana Alves,2025-01-31,3.04,Pouca experiência prática em automação; abordagens de teste não foram suficientes.,194
